Model,Metric,HAM10000,Overall,Light,Dark,PR (Light),PR (Dark),Z-Statistic,P-Value,Significance
DenseNet121,MCC,0.6655413609609269,0.4059555365149015,0.4332751437118859,0.2880347274295493,0.027319607196984397,-0.11792080908535224,1.833063751207765,0.06679309099460026,
MobileNetV2,MCC,0.5463581752285502,0.355847130538991,0.4336658465600201,0.287061379221714,0.07781871602102913,-0.06878575131727699,1.8503612672150551,0.06426149763570306,
EfficientNetV2B0,MCC,0.5168848391829313,0.194598472081829,0.2578285977766445,0.0459185797351455,0.06323012569481551,-0.1486798923466835,3.3586677979462007,0.0007831915627663809,***
VGG16,MCC,0.576950246986909,0.0371585126426058,0.1704122950885355,-0.1897658566033678,0.1332537824459297,-0.22692436924597362,10.793192011398379,3.706864429081838e-27,***
ResNet50,Precision (Benign),0.9908424908424908,0.7678571428571429,0.6896551724137931,0.8518518518518519,-0.07820197044334976,0.08399470899470896,-2.2871680481737386,0.02218601622929081,*
DenseNet121,Precision (Benign),0.9720149253731344,0.8125,0.7333333333333333,0.8823529411764706,-0.07916666666666672,0.06985294117647056,-2.2273047671039854,0.02592691215198069,*
MobileNetV2,Precision (Benign),0.8354037267080745,0.7428571428571429,0.6363636363636364,0.9230769230769232,-0.10649350649350653,0.18021978021978036,-3.994648632855547,6.479026609001635e-05,***
EfficientNetV2B0,Precision (Benign),0.875,0.575,0.4782608695652174,0.7058823529411765,-0.09673913043478255,0.13088235294117656,-2.8111039498488286,0.004937183212817528,**
VGG16,Precision (Benign),0.9454926624737946,0.5,0.6,0.0,0.09999999999999998,-0.5,7.5474688283083164,4.437987157568109e-14,***
ResNet50,F1-Score (Benign),0.7997043606799705,0.6991869918699187,0.7017543859649122,0.6969696969696971,0.0025673940949935137,-0.0022172949002216003,0.06403803137589013,0.9489399442808472,
DenseNet121,F1-Score (Benign),0.7758749069247952,0.5252525252525252,0.5116279069767441,0.5357142857142858,-0.013624618275781097,0.010461760461760616,-0.29567624556729144,0.7674773397731953,
MobileNetV2,F1-Score (Benign),0.7415575465196416,0.5098039215686275,0.56,0.4615384615384615,0.050196078431372526,-0.04826546003016602,1.2092640874265328,0.22656140322545582,
EfficientNetV2B0,F1-Score (Benign),0.6857573474001507,0.4299065420560747,0.4313725490196078,0.4285714285714286,0.0014660069635331063,-0.0013351134846461,0.0346957329330113,0.9723223635066419,
VGG16,F1-Score (Benign),0.7024922118380061,0.0821917808219178,0.1818181818181818,0.0,0.09962640099626399,-0.0821917808219178,3.457604388508444,0.0005450010539289445,***
ResNet50,,1613.0,165.0,107.0,58.0,-58.0,-107.0,,,
DenseNet121,,1613.0,165.0,107.0,58.0,-58.0,-107.0,,,
MobileNetV2,,1613.0,165.0,107.0,58.0,-58.0,-107.0,,,
EfficientNetV2B0,,1613.0,165.0,107.0,58.0,-58.0,-107.0,,,
VGG16,,1613.0,165.0,107.0,58.0,-58.0,-107.0,,,
