model,seed,metric,n_source,source_performance,source_ci_low,source_ci_high,source_half_width,source_half_width_tolerance,source_within_tolerance
ResNet50,5,auc_pr,1002,0.7831817614487236,0.7280619234157869,0.8354184078848916,0.053678242234552365,0.075,True
VGG16,1,auc_pr,1002,0.7772327990419748,0.7191100354111754,0.8320617777338116,0.056475871161318136,0.075,True
VGG16,2,auc_pr,1002,0.7622403662428703,0.7065969466754652,0.8151137794547153,0.05425841638962503,0.075,True
VGG16,3,auc_pr,1002,0.7420406013212654,0.6826642083829455,0.797617350898737,0.05747657125789574,0.075,True
VGG16,4,auc_pr,1002,0.7205749420462662,0.6513808162686608,0.7868203362821407,0.0677197600067399,0.075,True
VGG16,5,auc_pr,1002,0.7394610785697587,0.6729204727072227,0.8054462660845052,0.06626289668864127,0.075,True
DenseNet121,1,f1,1002,0.7170731707317073,0.6649200509409934,0.7653078657431082,0.05019390740105739,0.075,True
DenseNet121,2,f1,1002,0.6542056074766355,0.6034043032751357,0.7054160005404067,0.051005848632635464,0.075,True
DenseNet121,3,f1,1002,0.6618357487922706,0.6086956521739131,0.7157373764360139,0.053520862131050395,0.075,True
DenseNet121,4,f1,1002,0.6490384615384616,0.5908924611973393,0.6997638602052415,0.05443569950395111,0.075,True
DenseNet121,5,f1,1002,0.6682242990654206,0.6172824738614212,0.7213199256379922,0.05201872588828549,0.075,True
EfficientNetV2B0,1,f1,1002,0.7085427135678392,0.6547119451974607,0.7575154977513066,0.05140177627692294,0.075,True
EfficientNetV2B0,2,f1,1002,0.683046683046683,0.6288197758191583,0.7327602658594367,0.051970245020139194,0.075,True
EfficientNetV2B0,3,f1,1002,0.6831955922865014,0.6268382016298875,0.7362711213517665,0.05471645986093954,0.075,True
EfficientNetV2B0,4,f1,1002,0.6904109589041096,0.6366133162612037,0.7438453392351443,0.053616011486970316,0.075,True
EfficientNetV2B0,5,f1,1002,0.6614173228346457,0.6047745358090185,0.7150388221172108,0.05513214315409615,0.075,True
MobileNetV2,1,f1,1002,0.6909975669099757,0.6356052924891239,0.7397260273972602,0.05206036745406817,0.075,True
MobileNetV2,2,f1,1002,0.6601466992665037,0.6066287687808813,0.7095238095238096,0.051447520371464106,0.075,True
MobileNetV2,3,f1,1002,0.6602870813397129,0.6005080035370762,0.7092538139363295,0.05437290519962662,0.075,True
MobileNetV2,4,f1,1002,0.662004662004662,0.607371612262499,0.7117255226925037,0.05217695521500232,0.075,True
MobileNetV2,5,f1,1002,0.6855791962174941,0.6353501381215471,0.7333368869936033,0.048993374436028136,0.075,True
ResNet50,1,f1,1002,0.7506426735218509,0.7002520932745115,0.7971023139981321,0.0484251103618103,0.075,True
ResNet50,2,f1,1002,0.6631016042780749,0.6033385789597923,0.7164948453608248,0.056578133200516245,0.075,True
ResNet50,3,f1,1002,0.7096774193548387,0.6595145042406002,0.7584418721375243,0.04946368394846207,0.075,True
ResNet50,4,f1,1002,0.7153652392947103,0.6633644566988345,0.7625949472979756,0.049615245299570565,0.075,True
ResNet50,5,f1,1002,0.7080103359173127,0.6566358203200308,0.7571437896307348,0.050253984655352024,0.075,True
VGG16,1,f1,1002,0.6846846846846847,0.6337067526977417,0.728579365079365,0.04743630619081168,0.075,True
VGG16,2,f1,1002,0.6767676767676768,0.6206896551724138,0.7293478260869566,0.05432908545727139,0.075,True
VGG16,3,f1,1002,0.6832579185520362,0.6343622459201255,0.7343437172329118,0.04999073565639317,0.075,True
VGG16,4,f1,1002,0.6451612903225806,0.5864641971420698,0.6975638116846284,0.05554980727127934,0.075,True
VGG16,5,f1,1002,0.6901408450704225,0.6376069544136521,0.7410967891965516,0.05174491739144976,0.075,True
DenseNet121,1,precision,1002,0.6869158878504673,0.6210007790690125,0.7487712341779142,0.06388522755445086,0.075,True
DenseNet121,2,precision,1002,0.603448275862069,0.5434688905547226,0.6651795419254658,0.06085532568537161,0.075,True
DenseNet121,3,precision,1002,0.6284403669724771,0.5622062688045093,0.691674107142857,0.06473391916917387,0.075,True
DenseNet121,4,precision,1002,0.6136363636363636,0.546647342995169,0.6768592765776559,0.06510596679124342,0.075,True
DenseNet121,5,precision,1002,0.6163793103448276,0.5511111111111111,0.6789097278674563,0.06389930837817259,0.075,True
EfficientNetV2B0,1,precision,1002,0.698019801980198,0.6330230909010326,0.7623957790515893,0.06468634407527835,0.075,True
EfficientNetV2B0,2,precision,1002,0.6587677725118484,0.5981273188371765,0.7219859677730812,0.06192932446795235,0.075,True
