metric_group,model,model_label,seed,metric,n_light,n_dark,light_performance,dark_performance,gap_light_minus_dark,bootstrap_ci_low,bootstrap_ci_high,interval_direction,n_boot_valid,prediction_file
Primary,mobilenetv2,MobileNetV2,2,precision,105,46,0.8888888888888888,0.5714285714285714,0.31746031746031744,0.0822332578053402,0.5688729588825495,light higher,2000,outputs/predictions/bosque_public_predictions_mobilenetv2_seed2_20260712T130247Z.csv
Primary,mobilenetv2,MobileNetV2,3,precision,105,46,0.9148936170212766,0.5789473684210527,0.33594624860022393,0.10626741917502779,0.5773233828415085,light higher,2000,outputs/predictions/bosque_public_predictions_mobilenetv2_seed3_20260712T130408Z.csv
Primary,mobilenetv2,MobileNetV2,4,precision,105,46,0.9215686274509803,0.6666666666666666,0.2549019607843137,0.038301677184856046,0.481485063399957,light higher,2000,outputs/predictions/bosque_public_predictions_mobilenetv2_seed4_20260712T130528Z.csv
Primary,mobilenetv2,MobileNetV2,5,precision,105,46,0.9555555555555556,0.5,0.4555555555555556,0.2532882319594504,0.661989522417154,light higher,2000,outputs/predictions/bosque_public_predictions_mobilenetv2_seed5_20260712T130647Z.csv
Primary,efficientnetv2b0,EfficientNetV2B0,1,precision,105,46,0.9491525423728814,0.7647058823529411,0.18444666001994026,-0.01986270022883289,0.4041050587273268,includes zero,2000,outputs/predictions/bosque_public_predictions_efficientnetv2b0_seed1_20260712T125320Z.csv
Primary,efficientnetv2b0,EfficientNetV2B0,2,precision,105,46,0.9180327868852459,0.6666666666666666,0.2513661202185793,0.028094912828519416,0.4856132075471697,light higher,2000,outputs/predictions/bosque_public_predictions_efficientnetv2b0_seed2_20260712T125459Z.csv
Primary,efficientnetv2b0,EfficientNetV2B0,3,precision,105,46,0.9354838709677419,0.8,0.13548387096774184,-0.06764394925178913,0.3759823174706648,includes zero,2000,outputs/predictions/bosque_public_predictions_efficientnetv2b0_seed3_20260712T125637Z.csv
Primary,efficientnetv2b0,EfficientNetV2B0,4,precision,105,46,0.9423076923076923,0.8125,0.1298076923076923,-0.0588529411764706,0.34663666267942556,includes zero,2000,outputs/predictions/bosque_public_predictions_efficientnetv2b0_seed4_20260712T125815Z.csv
Primary,efficientnetv2b0,EfficientNetV2B0,5,precision,105,46,0.9473684210526315,0.7857142857142857,0.16165413533834583,-0.0535714285714286,0.404736796319208,includes zero,2000,outputs/predictions/bosque_public_predictions_efficientnetv2b0_seed5_20260712T125953Z.csv
Primary,vgg16,VGG16,1,precision,105,46,0.8958333333333334,0.7692307692307693,0.1266025641025641,-0.1098366013071896,0.39143553223388233,includes zero,2000,outputs/predictions/bosque_public_predictions_vgg16_seed1_20260712T134513Z.csv
Primary,vgg16,VGG16,2,precision,105,46,0.9230769230769231,0.75,0.17307692307692313,-0.06674418604651161,0.4767700258397931,includes zero,2000,outputs/predictions/bosque_public_predictions_vgg16_seed2_20260712T135527Z.csv
Primary,vgg16,VGG16,3,precision,105,46,0.9166666666666666,0.8,0.11666666666666659,-0.08337765957446812,0.3585722673261166,includes zero,2000,outputs/predictions/bosque_public_predictions_vgg16_seed3_20260712T140512Z.csv
Primary,vgg16,VGG16,4,precision,105,46,0.9111111111111111,0.7333333333333333,0.1777777777777778,-0.06386447733580017,0.4494505063471679,includes zero,2000,outputs/predictions/bosque_public_predictions_vgg16_seed4_20260712T141500Z.csv
Primary,vgg16,VGG16,5,precision,105,46,0.9545454545454546,0.7142857142857143,0.24025974025974028,0.008293690958164722,0.5120668844530238,light higher,2000,outputs/predictions/bosque_public_predictions_vgg16_seed5_20260712T142444Z.csv
Secondary,resnet50,ResNet50,1,accuracy,105,46,0.6571428571428571,0.6521739130434783,0.004968944099378869,-0.16356107660455488,0.16276397515527932,includes zero,2000,outputs/predictions/bosque_public_predictions_resnet50_seed1_20260710T163649Z.csv
Secondary,resnet50,ResNet50,2,accuracy,105,46,0.6666666666666666,0.6956521739130435,-0.02898550724637683,-0.19071946169772255,0.1246376811594202,includes zero,2000,outputs/predictions/bosque_public_predictions_resnet50_seed2_20260712T130830Z.csv
Secondary,resnet50,ResNet50,3,accuracy,105,46,0.6952380952380952,0.6521739130434783,0.04306418219461694,-0.1227743271221533,0.2116614906832294,includes zero,2000,outputs/predictions/bosque_public_predictions_resnet50_seed3_20260712T131749Z.csv
Secondary,resnet50,ResNet50,4,accuracy,105,46,0.6666666666666666,0.6739130434782609,-0.007246376811594235,-0.15551759834368525,0.15593167701863334,includes zero,2000,outputs/predictions/bosque_public_predictions_resnet50_seed4_20260712T132705Z.csv
