model,seed,metric,target_condition,n_target,target_performance,target_ci_low,target_ci_high,target_half_width,target_half_width_tolerance,target_within_tolerance
EfficientNetV2B0,2,precision,BOSQUE dark,46,0.6666666666666666,0.4375,0.875,0.21875,0.1,False
EfficientNetV2B0,3,precision,BOSQUE dark,46,0.8,0.5833333333333334,1.0,0.20833333333333331,0.1,False
EfficientNetV2B0,4,precision,BOSQUE dark,46,0.8125,0.6,1.0,0.2,0.1,False
EfficientNetV2B0,5,precision,BOSQUE dark,46,0.7857142857142857,0.5454545454545454,1.0,0.2272727272727273,0.1,False
MobileNetV2,1,precision,BOSQUE dark,46,0.5217391304347826,0.3157894736842105,0.7272727272727273,0.2057416267942584,0.1,False
MobileNetV2,2,precision,BOSQUE dark,46,0.5714285714285714,0.3529411764705882,0.782608695652174,0.21483375959079287,0.1,False
MobileNetV2,3,precision,BOSQUE dark,46,0.5789473684210527,0.35,0.8,0.22500000000000003,0.1,False
MobileNetV2,4,precision,BOSQUE dark,46,0.6666666666666666,0.4583333333333333,0.8572660098522149,0.1994663382594408,0.1,False
MobileNetV2,5,precision,BOSQUE dark,46,0.5,0.3,0.7037037037037037,0.20185185185185187,0.1,False
ResNet50,1,precision,BOSQUE dark,46,0.7272727272727273,0.4285714285714285,1.0,0.28571428571428575,0.1,False
ResNet50,2,precision,BOSQUE dark,46,0.7333333333333333,0.5,0.9375,0.21875,0.1,False
ResNet50,3,precision,BOSQUE dark,46,0.6923076923076923,0.4166666666666667,0.9285714285714286,0.25595238095238093,0.1,False
ResNet50,4,precision,BOSQUE dark,46,0.75,0.5,1.0,0.25,0.1,False
ResNet50,5,precision,BOSQUE dark,46,1.0,1.0,1.0,0.0,0.1,True
VGG16,1,precision,BOSQUE dark,46,0.7692307692307693,0.5,1.0,0.25,0.1,False
VGG16,2,precision,BOSQUE dark,46,0.75,0.4666666666666667,1.0,0.26666666666666666,0.1,False
VGG16,3,precision,BOSQUE dark,46,0.8,0.5789473684210527,1.0,0.21052631578947367,0.1,False
VGG16,4,precision,BOSQUE dark,46,0.7333333333333333,0.5,0.9333333333333332,0.21666666666666662,0.1,False
VGG16,5,precision,BOSQUE dark,46,0.7142857142857143,0.4615384615384615,0.9333333333333332,0.23589743589743586,0.1,False
DenseNet121,1,accuracy,BOSQUE overall,151,0.6688741721854304,0.5960264900662252,0.7417218543046358,0.07284768211920528,0.1,True
DenseNet121,2,accuracy,BOSQUE overall,151,0.7417218543046358,0.6688741721854304,0.8079470198675497,0.06953642384105962,0.1,True
DenseNet121,3,accuracy,BOSQUE overall,151,0.7350993377483444,0.6622516556291391,0.8013245033112583,0.06953642384105957,0.1,True
DenseNet121,4,accuracy,BOSQUE overall,151,0.6490066225165563,0.5761589403973509,0.7218543046357616,0.07284768211920534,0.1,True
DenseNet121,5,accuracy,BOSQUE overall,151,0.7019867549668874,0.6291390728476821,0.7748344370860927,0.07284768211920528,0.1,True
EfficientNetV2B0,1,accuracy,BOSQUE overall,151,0.7615894039735099,0.6887417218543046,0.8278145695364238,0.06953642384105962,0.1,True
EfficientNetV2B0,2,accuracy,BOSQUE overall,151,0.7284768211920529,0.6556291390728477,0.8013245033112583,0.07284768211920528,0.1,True
EfficientNetV2B0,3,accuracy,BOSQUE overall,151,0.7682119205298014,0.7019867549668874,0.8344370860927153,0.06622516556291391,0.1,True
EfficientNetV2B0,4,accuracy,BOSQUE overall,151,0.7218543046357616,0.6490066225165563,0.7947019867549668,0.07284768211920528,0.1,True
EfficientNetV2B0,5,accuracy,BOSQUE overall,151,0.7417218543046358,0.6688741721854304,0.8079470198675497,0.06953642384105962,0.1,True
MobileNetV2,1,accuracy,BOSQUE overall,151,0.6357615894039735,0.5562913907284768,0.7086092715231788,0.076158940397351,0.1,True
MobileNetV2,2,accuracy,BOSQUE overall,151,0.6026490066225165,0.5231788079470199,0.6821192052980133,0.0794701986754967,0.1,True
MobileNetV2,3,accuracy,BOSQUE overall,151,0.6291390728476821,0.5496688741721855,0.7019867549668874,0.076158940397351,0.1,True
MobileNetV2,4,accuracy,BOSQUE overall,151,0.6821192052980133,0.609271523178808,0.7549668874172185,0.07284768211920528,0.1,True
MobileNetV2,5,accuracy,BOSQUE overall,151,0.6225165562913907,0.543046357615894,0.695364238410596,0.076158940397351,0.1,True
ResNet50,1,accuracy,BOSQUE overall,151,0.6556291390728477,0.5761589403973509,0.7284768211920529,0.076158940397351,0.1,True
ResNet50,2,accuracy,BOSQUE overall,151,0.6754966887417219,0.6026490066225165,0.7483443708609272,0.07284768211920534,0.1,True
ResNet50,3,accuracy,BOSQUE overall,151,0.6821192052980133,0.609271523178808,0.7549668874172185,0.07284768211920528,0.1,True
ResNet50,4,accuracy,BOSQUE overall,151,0.6688741721854304,0.5894039735099338,0.7417218543046358,0.076158940397351,0.1,True
ResNet50,5,accuracy,BOSQUE overall,151,0.6754966887417219,0.6026490066225165,0.7483443708609272,0.07284768211920534,0.1,True
VGG16,1,accuracy,BOSQUE overall,151,0.6490066225165563,0.5695364238410596,0.7218543046357616,0.076158940397351,0.1,True
VGG16,2,accuracy,BOSQUE overall,151,0.609271523178808,0.5298013245033113,0.6887417218543046,0.07947019867549665,0.1,True
VGG16,3,accuracy,BOSQUE overall,151,0.6754966887417219,0.6026490066225165,0.7483443708609272,0.07284768211920534,0.1,True
VGG16,4,accuracy,BOSQUE overall,151,0.6423841059602649,0.5695364238410596,0.7152317880794702,0.07284768211920528,0.1,True
VGG16,5,accuracy,BOSQUE overall,151,0.6556291390728477,0.5761589403973509,0.7284768211920529,0.076158940397351,0.1,True
DenseNet121,1,accuracy,BOSQUE light,105,0.638095238095238,0.5428571428571428,0.7238095238095238,0.09047619047619049,0.1,True
DenseNet121,2,accuracy,BOSQUE light,105,0.7523809523809524,0.6666666666666666,0.8285714285714286,0.080952380952381,0.1,True
DenseNet121,3,accuracy,BOSQUE light,105,0.7238095238095238,0.638095238095238,0.8095238095238095,0.08571428571428574,0.1,True
DenseNet121,4,accuracy,BOSQUE light,105,0.638095238095238,0.5428571428571428,0.7238095238095238,0.09047619047619049,0.1,True
DenseNet121,5,accuracy,BOSQUE light,105,0.6857142857142857,0.5904761904761905,0.7714285714285715,0.09047619047619049,0.1,True
EfficientNetV2B0,1,accuracy,BOSQUE light,105,0.7714285714285715,0.6857142857142857,0.8476190476190476,0.08095238095238094,0.1,True
EfficientNetV2B0,2,accuracy,BOSQUE light,105,0.7523809523809524,0.6666666666666666,0.8285714285714286,0.080952380952381,0.1,True
EfficientNetV2B0,3,accuracy,BOSQUE light,105,0.780952380952381,0.7047619047619048,0.8571428571428571,0.07619047619047614,0.1,True
EfficientNetV2B0,4,accuracy,BOSQUE light,105,0.7047619047619048,0.6190476190476191,0.7904761904761904,0.08571428571428569,0.1,True
EfficientNetV2B0,5,accuracy,BOSQUE light,105,0.7523809523809524,0.6666666666666666,0.8285714285714286,0.080952380952381,0.1,True
MobileNetV2,1,accuracy,BOSQUE light,105,0.6666666666666666,0.5714285714285714,0.7523809523809524,0.09047619047619049,0.1,True
MobileNetV2,2,accuracy,BOSQUE light,105,0.6,0.5047619047619047,0.6952380952380952,0.09523809523809523,0.1,True
MobileNetV2,3,accuracy,BOSQUE light,105,0.638095238095238,0.5428571428571428,0.7238095238095238,0.09047619047619049,0.1,True
MobileNetV2,4,accuracy,BOSQUE light,105,0.6761904761904762,0.580952380952381,0.7619047619047619,0.09047619047619043,0.1,True
MobileNetV2,5,accuracy,BOSQUE light,105,0.6571428571428571,0.5619047619047619,0.7428571428571429,0.09047619047619049,0.1,True
ResNet50,1,accuracy,BOSQUE light,105,0.6571428571428571,0.5619047619047619,0.7428571428571429,0.09047619047619049,0.1,True
ResNet50,2,accuracy,BOSQUE light,105,0.6666666666666666,0.5714285714285714,0.7523809523809524,0.09047619047619049,0.1,True
ResNet50,3,accuracy,BOSQUE light,105,0.6952380952380952,0.6095238095238096,0.780952380952381,0.08571428571428569,0.1,True
ResNet50,4,accuracy,BOSQUE light,105,0.6666666666666666,0.5714285714285714,0.7523809523809524,0.09047619047619049,0.1,True
ResNet50,5,accuracy,BOSQUE light,105,0.6571428571428571,0.5714285714285714,0.7428571428571429,0.08571428571428574,0.1,True
VGG16,1,accuracy,BOSQUE light,105,0.6285714285714286,0.5333333333333333,0.7238095238095238,0.09523809523809523,0.1,True
VGG16,2,accuracy,BOSQUE light,105,0.580952380952381,0.4857142857142857,0.6761904761904762,0.09523809523809526,0.1,True
VGG16,3,accuracy,BOSQUE light,105,0.6476190476190476,0.5523809523809524,0.7333333333333333,0.09047619047619043,0.1,True
VGG16,4,accuracy,BOSQUE light,105,0.6190476190476191,0.5238095238095238,0.7142857142857143,0.09523809523809523,0.1,True
VGG16,5,accuracy,BOSQUE light,105,0.6476190476190476,0.5523809523809524,0.7333333333333333,0.09047619047619043,0.1,True
DenseNet121,1,accuracy,BOSQUE dark,46,0.7391304347826086,0.6086956521739131,0.8695652173913043,0.13043478260869562,0.1,False
DenseNet121,2,accuracy,BOSQUE dark,46,0.717391304347826,0.5869565217391305,0.8478260869565217,0.13043478260869562,0.1,False
DenseNet121,3,accuracy,BOSQUE dark,46,0.7608695652173914,0.6304347826086957,0.8695652173913043,0.11956521739130432,0.1,False
DenseNet121,4,accuracy,BOSQUE dark,46,0.6739130434782609,0.5434782608695652,0.8043478260869565,0.13043478260869568,0.1,False
DenseNet121,5,accuracy,BOSQUE dark,46,0.7391304347826086,0.6086956521739131,0.8695652173913043,0.13043478260869562,0.1,False
EfficientNetV2B0,1,accuracy,BOSQUE dark,46,0.7391304347826086,0.6086956521739131,0.8695652173913043,0.13043478260869562,0.1,False
EfficientNetV2B0,2,accuracy,BOSQUE dark,46,0.6739130434782609,0.5434782608695652,0.8043478260869565,0.13043478260869568,0.1,False
EfficientNetV2B0,3,accuracy,BOSQUE dark,46,0.7391304347826086,0.6086956521739131,0.8695652173913043,0.13043478260869562,0.1,False
EfficientNetV2B0,4,accuracy,BOSQUE dark,46,0.7608695652173914,0.6304347826086957,0.8695652173913043,0.11956521739130432,0.1,False
EfficientNetV2B0,5,accuracy,BOSQUE dark,46,0.717391304347826,0.5869565217391305,0.8478260869565217,0.13043478260869562,0.1,False
MobileNetV2,1,accuracy,BOSQUE dark,46,0.5652173913043478,0.4130434782608695,0.6956521739130435,0.14130434782608697,0.1,False
MobileNetV2,2,accuracy,BOSQUE dark,46,0.6086956521739131,0.4565217391304347,0.7391304347826086,0.14130434782608697,0.1,False
MobileNetV2,3,accuracy,BOSQUE dark,46,0.6086956521739131,0.4565217391304347,0.7391304347826086,0.14130434782608697,0.1,False
