metric_group,model,model_label,metric,n_seeds,mean_light,sd_light,mean_dark,sd_dark,mean_gap,sd_gap,min_gap,max_gap,n_gap_positive,n_interval_light_higher,n_interval_dark_higher,n_interval_includes_zero,min_boot_valid
Primary,vgg16,VGG16,precision,5,0.9396855252027667,0.03432292922639563,0.6873866542664497,0.04230780334410439,0.2522988709363169,0.04642479849802453,0.20833333333333337,0.3302139037433155,5,4,0,1,10000
Secondary,resnet50,ResNet50,accuracy,5,0.6971428571428572,0.02273778359297776,0.717391304347826,0.026624888508512825,-0.020248447204968944,0.03785407280975124,-0.06563146997929614,0.028157349896480333,1,0,0,5,10000
Secondary,densenet121,DenseNet121,accuracy,5,0.6685714285714286,0.02371409447235953,0.7086956521739131,0.03949109157518464,-0.040124223602484466,0.0420706277197953,-0.0888198757763975,0.01449275362318836,1,0,0,5,10000
Secondary,mobilenetv2,MobileNetV2,accuracy,5,0.6647619047619048,0.051463832708976316,0.6608695652173913,0.0662954377477257,0.00389233954451349,0.10053752203966959,-0.12960662525879907,0.14906832298136652,2,0,0,5,10000
Secondary,efficientnetv2b0,EfficientNetV2B0,accuracy,5,0.7771428571428571,0.019748991765074053,0.7,0.028344358283489746,0.07714285714285715,0.0251876777623439,0.04451345755693581,0.10434782608695659,5,0,0,5,10000
Secondary,vgg16,VGG16,accuracy,5,0.6838095238095239,0.0217176271447455,0.6956521739130435,0.026624888508512783,-0.011842650103519637,0.023652103594956675,-0.03850931677018632,0.01449275362318836,2,0,0,5,10000
Secondary,resnet50,ResNet50,specificity,5,0.9214285714285715,0.05868455973269637,0.8400000000000001,0.03999999999999996,0.08142857142857143,0.03837250291018084,0.017142857142857126,0.12,5,0,0,5,10000
Secondary,densenet121,DenseNet121,specificity,5,0.8928571428571429,0.05646924393157824,0.8960000000000001,0.060663003552412366,-0.003142857142857158,0.05742252988832441,-0.06714285714285706,0.0485714285714286,3,0,0,5,10000
Secondary,mobilenetv2,MobileNetV2,specificity,5,0.8071428571428572,0.019561519910898762,0.704,0.10807404868885033,0.10314285714285712,0.11553513468611515,-0.05428571428571427,0.26142857142857134,4,1,0,4,10000
Secondary,efficientnetv2b0,EfficientNetV2B0,specificity,5,0.8285714285714285,0.02988071523335983,0.72,0.05656854249492376,0.1085714285714285,0.05812548002873979,0.021428571428571352,0.17714285714285705,5,0,0,5,10000
Secondary,vgg16,VGG16,specificity,5,0.8857142857142858,0.07742672638813856,0.76,0.06324555320336757,0.12571428571428572,0.04623586380766359,0.08857142857142863,0.2042857142857143,5,1,0,4,10000
Secondary,resnet50,ResNet50,auc_roc,5,0.8880333951762523,0.01668340977095412,0.7607619047619048,0.026413766767160094,0.12727149041434757,0.03013443831496229,0.09786023500309216,0.1766852195423625,5,1,0,4,10000
Secondary,densenet121,DenseNet121,auc_roc,5,0.8487012987012987,0.029114569767232694,0.7752380952380953,0.022537446792760468,0.07346320346320352,0.027786013865310173,0.03567099567099574,0.10671614100185545,5,0,0,5,10000
Secondary,mobilenetv2,MobileNetV2,auc_roc,5,0.8328385899814471,0.02603524458052492,0.6834285714285715,0.02165070055372623,0.1494100185528757,0.04409690628383846,0.08656771799628948,0.18701298701298708,5,1,0,4,10000
Secondary,efficientnetv2b0,EfficientNetV2B0,auc_roc,5,0.8743970315398887,0.007218356262508578,0.7820952380952381,0.017999748045603763,0.09230179344465057,0.020323008000169014,0.059165120593691944,0.11019789734075447,5,0,0,5,10000
Secondary,vgg16,VGG16,auc_roc,5,0.826252319109462,0.013300451645264118,0.7588571428571428,0.039073162377015115,0.06739517625231914,0.038211642536783,0.016691403834261154,0.11575757575757584,5,0,0,5,10000
