metric_group,model,metric,target_condition,n_seeds,n_target,source_mean,source_sd,target_mean,target_sd,degradation_mean,degradation_sd,tac_adequate_n,tac_not_adequate_n,tac_inconclusive_n,etc_transported_n,etc_not_transported_n,etc_inconclusive_n,most_common_joint_region
Primary,MobileNetV2,recall,BOSQUE dark,5,46,0.7163265306122449,0.019956742056742773,0.5809523809523809,0.05216405309573008,0.13537414965986394,0.04938712261359207,0,0,5,0,0,5,inconclusive
Primary,ResNet50,recall,BOSQUE dark,5,46,0.7061224489795919,0.04427325132636047,0.42857142857142855,0.05832118435198048,0.2775510204081633,0.09804683578523521,0,4,1,0,4,1,not adequate and not transported
Primary,VGG16,recall,BOSQUE dark,5,46,0.7285714285714285,0.051704596163911175,0.49523809523809514,0.05429406786186373,0.2333333333333333,0.0641474415469747,0,3,2,0,2,3,inconclusive
Primary,DenseNet121,auc_pr,BOSQUE overall,5,151,0.7326001085163905,0.023185036882508225,0.9018926065431347,0.0200891014262074,-0.16929249802674423,0.02657209048245298,2,0,3,5,0,0,inconclusive
Primary,EfficientNetV2B0,auc_pr,BOSQUE overall,5,151,0.7513956168200685,0.03246915906482162,0.9129859152473513,0.00824639887124814,-0.16159029842728273,0.029562526301267718,4,0,1,5,0,0,adequate and transported
Primary,MobileNetV2,auc_pr,BOSQUE overall,5,151,0.7256737667840902,0.04487077840314016,0.8582472656247845,0.006960312627171975,-0.1325734988406942,0.04653340696501687,0,0,5,5,0,0,inconclusive
Primary,ResNet50,auc_pr,BOSQUE overall,5,151,0.7747020451841926,0.03581941826156666,0.9039620842264607,0.01417596571833177,-0.12926003904226827,0.04181238107588917,3,0,2,5,0,0,adequate and transported
Primary,VGG16,auc_pr,BOSQUE overall,5,151,0.7483099574444271,0.02189420938309017,0.8788082528809438,0.013956956387847042,-0.1304982954365168,0.0220077803998242,0,0,5,5,0,0,inconclusive
Primary,DenseNet121,auc_pr,BOSQUE light,5,105,0.7326001085163905,0.023185036882508225,0.930345525563828,0.014435726746960231,-0.1977454170474376,0.02264135706953995,3,0,2,5,0,0,adequate and transported
Primary,EfficientNetV2B0,auc_pr,BOSQUE light,5,105,0.7513956168200685,0.03246915906482162,0.9507701898157584,0.00838679480410269,-0.1993745729956899,0.033152922399660556,5,0,0,5,0,0,adequate and transported
Primary,MobileNetV2,auc_pr,BOSQUE light,5,105,0.7256737667840902,0.04487077840314016,0.9318443042949911,0.010070893122300705,-0.20617053751090086,0.03792158185874946,5,0,0,5,0,0,adequate and transported
Primary,ResNet50,auc_pr,BOSQUE light,5,105,0.7747020451841926,0.03581941826156666,0.9466036437194522,0.008300941994967845,-0.17190159853525944,0.038839346258311765,5,0,0,5,0,0,adequate and transported
Primary,VGG16,auc_pr,BOSQUE light,5,105,0.7483099574444271,0.02189420938309017,0.9194966653792072,0.00999799188974853,-0.17118670793478008,0.024913578235575117,4,0,1,5,0,0,adequate and transported
Primary,DenseNet121,auc_pr,BOSQUE dark,5,46,0.7326001085163905,0.023185036882508225,0.7990166392390656,0.046083379328831275,-0.06641653072267516,0.045580811943319394,0,0,5,2,0,3,inconclusive
Primary,EfficientNetV2B0,auc_pr,BOSQUE dark,5,46,0.7513956168200685,0.03246915906482162,0.7855030626038892,0.01234324567074389,-0.0341074457838207,0.02861245502643292,0,0,5,0,0,5,inconclusive
Primary,MobileNetV2,auc_pr,BOSQUE dark,5,46,0.7256737667840902,0.04487077840314016,0.6968454364882766,0.03281093589726846,0.028828330295813682,0.0630922785347185,0,1,4,0,0,5,inconclusive
Primary,ResNet50,auc_pr,BOSQUE dark,5,46,0.7747020451841926,0.03581941826156666,0.7616550546994315,0.02672806218903822,0.01304699048476112,0.052868709739832175,0,0,5,0,0,5,inconclusive
Primary,VGG16,auc_pr,BOSQUE dark,5,46,0.7483099574444271,0.02189420938309017,0.7605492882523742,0.03465082187887382,-0.012239330807947101,0.028886145898059993,0,0,5,0,0,5,inconclusive
Primary,DenseNet121,f1,BOSQUE overall,5,151,0.6700754575208991,0.02726954333591696,0.7143147486486419,0.053806673767305434,-0.044239291127742796,0.06675863693066945,0,0,5,3,0,2,inconclusive
Primary,EfficientNetV2B0,f1,BOSQUE overall,5,151,0.6853226541279558,0.01692801898163088,0.7755367502469529,0.021291558171928373,-0.09021409611899703,0.023474449634185296,2,0,3,5,0,0,inconclusive
Primary,MobileNetV2,f1,BOSQUE overall,5,151,0.6718030411476696,0.015188055651785262,0.6694750386965505,0.031159967842169532,0.002328002451119279,0.03402620048265684,0,0,5,1,0,4,inconclusive
Primary,ResNet50,f1,BOSQUE overall,5,151,0.7093594544733575,0.031153184241581165,0.6849307221375067,0.016796067045806228,0.02442873233585076,0.04542237254978333,0,0,5,0,0,5,inconclusive
Primary,VGG16,f1,BOSQUE overall,5,151,0.6760024830794802,0.017886307196047002,0.6582480401970453,0.033469217609207645,0.017754442882434864,0.03505412182017622,0,1,4,0,0,5,inconclusive
Primary,DenseNet121,f1,BOSQUE light,5,105,0.6700754575208991,0.02726954333591696,0.737329885848644,0.056195763028451265,-0.06725442832774492,0.07247776380076977,1,0,4,3,0,2,inconclusive
Primary,EfficientNetV2B0,f1,BOSQUE light,5,105,0.6853226541279558,0.01692801898163088,0.8070632120996656,0.028686424601995195,-0.12174055797170968,0.03255957730005705,4,0,1,5,0,0,adequate and transported
Primary,MobileNetV2,f1,BOSQUE light,5,105,0.6718030411476696,0.015188055651785262,0.702597714724118,0.03069479731636933,-0.030794673576448262,0.02789267091254607,0,0,5,1,0,4,inconclusive
Primary,ResNet50,f1,BOSQUE light,5,105,0.7093594544733575,0.031153184241581165,0.7208904110864334,0.017820135296705508,-0.011530956613075766,0.04127128589494635,0,0,5,1,0,4,inconclusive
Primary,VGG16,f1,BOSQUE light,5,105,0.6760024830794802,0.017886307196047002,0.675807135749291,0.032915794043664584,0.0001953473301891608,0.03290041750586604,0,0,5,0,0,5,inconclusive
Primary,DenseNet121,f1,BOSQUE dark,5,46,0.6700754575208991,0.02726954333591696,0.6289219227359645,0.06518175874245376,0.04115353478493454,0.06153840213831461,0,0,5,0,0,5,inconclusive
Primary,EfficientNetV2B0,f1,BOSQUE dark,5,46,0.6853226541279558,0.01692801898163088,0.6595071879282406,0.03684829770415638,0.02581546619971518,0.028901402989035638,0,0,5,0,0,5,inconclusive
Primary,MobileNetV2,f1,BOSQUE dark,5,46,0.6718030411476696,0.015188055651785262,0.5733766233766234,0.05393607586050499,0.0984264177710463,0.06320335451636347,0,1,4,0,0,5,inconclusive
Primary,ResNet50,f1,BOSQUE dark,5,46,0.7093594544733575,0.031153184241581165,0.5475403118405147,0.04077936614631531,0.16181914263284275,0.07139382390314448,0,1,4,0,1,4,inconclusive
Primary,VGG16,f1,BOSQUE dark,5,46,0.6760024830794802,0.017886307196047002,0.5965792377557083,0.045932925580646405,0.07942324532377179,0.05131435511600808,0,0,5,0,0,5,inconclusive
Primary,DenseNet121,precision,BOSQUE overall,5,151,0.6297640409332409,0.033165713462860326,0.9241887470574014,0.01742335803149423,-0.29442470612416044,0.0324152587891564,5,0,0,5,0,0,adequate and transported
Primary,EfficientNetV2B0,precision,BOSQUE overall,5,151,0.7051891511621046,0.03811409580943254,0.9010005606465464,0.022683822820822375,-0.19581140948444192,0.029399705931549735,4,0,1,5,0,0,adequate and transported
Primary,MobileNetV2,precision,BOSQUE overall,5,151,0.6328196269423451,0.01918665703945964,0.8089809651006792,0.024200092395046002,-0.17616133815833412,0.0412051105597507,0,0,5,5,0,0,inconclusive
Primary,ResNet50,precision,BOSQUE overall,5,151,0.7135344604124308,0.026027204419129736,0.9075020023080368,0.02602977206071348,-0.1939675418956059,0.02805451566556672,4,0,1,5,0,0,adequate and transported
Primary,VGG16,precision,BOSQUE overall,5,151,0.632774824494388,0.023467237373436558,0.8806625359772701,0.012829252978546656,-0.24788771148288208,0.023678767286037204,2,0,3,5,0,0,inconclusive
Primary,DenseNet121,precision,BOSQUE light,5,105,0.6297640409332409,0.033165713462860326,0.95221638677172,0.01941893321647304,-0.3224523458384792,0.037104184563127335,5,0,0,5,0,0,adequate and transported
Primary,EfficientNetV2B0,precision,BOSQUE light,5,105,0.7051891511621046,0.03811409580943254,0.9384690627172386,0.012595863737051897,-0.23327991155513406,0.03550765996215729,5,0,0,5,0,0,adequate and transported
Primary,MobileNetV2,precision,BOSQUE light,5,105,0.6328196269423451,0.01918665703945964,0.9201813377833403,0.02377220061163425,-0.2873617108409952,0.028854142698343698,4,0,1,5,0,0,adequate and transported
Primary,ResNet50,precision,BOSQUE light,5,105,0.7135344604124308,0.026027204419129736,0.9418847956080366,0.01510986642411806,-0.2283503351956057,0.021944976658801848,5,0,0,5,0,0,adequate and transported
Primary,VGG16,precision,BOSQUE light,5,105,0.632774824494388,0.023467237373436558,0.9202466977466978,0.021660464105427976,-0.2874718732523097,0.023664287948340176,5,0,0,5,0,0,adequate and transported
